question,answer,source,focus_area
How is Diaper Dermatitis (Diaper Rash) tested?,"Diaper rash, known medically as diaper dermatitis, is usually diagnosed by the doctor based on the child’s symptoms and a physical check-up. Generally, there’s no requirement for any lab tests to confirm this. However, in cases where a Candida albicans infection (a type of yeast infection) is suspected, a test using potassium hydroxide, or KOH, can be helpful, but it’s not always needed. If the doctor suspects a bacterial infection, a test known as Gram staining can be carried out.",National Library of Medicine - NIH (National Institutes of Health),Diaper Dermatitis (Diaper Rash) atau Dermatitis popok 
What are the Treatment Options for Diaper Dermatitis (Diaper Rash)?,"The main goals of treating diaper rash are to heal the damaged skin and to prevent the rash from returning.
To achieve these goals, a few key strategies are used:
* Maintaining good hygiene is crucial. This can help preserve the skin’s natural defenses and avoid further irritation. Regular diaper changes and using high-quality, superabsorbent diapers can help decrease contact with pee and poop, which can irritate the skin.
* Bathing and cleaning the diaper area with water and a soap-free cleanser are also recommended.
The use of wet wipes on a baby’s skin has been debated. Some people fear that certain ingredients in wipes might irritate the skin further. However, recent studies indicate that baby wipes don’t harm the skin. Modern wipes usually include pH balancers which help neutralize the pee’s alkalinity, thus avoiding pH-related skin damage. It’s important to tell parents to choose wipes without soap, essential oils, fragrances, or harsh cleaners, as they might irritate the skin.
Topical ointments are suggested for both prevention and treatment of diaper rash. They improve the skin’s natural barrier and provide an extra barrier between the skin and the diaper, pee, and poop. This not only lessens contact and irritation but also prevents too much moisture from building up on the skin. To treat existing diaper rashes, these ointments should be applied during each diaper change. Common ones include zinc oxide, petrolatum, cod liver oil, and lanolin. If the diaper rash doesn’t get better after two or three days of using these measures, or if the rash is moderate to severe, a low-strength steroid cream, like hydrocortisone, can be used twice daily for a week.
For candida diaper rashes, which are caused by a type of yeast, an antifungal cream should be added to the treatment plan. Initially, nystatin is recommended; if there’s no improvement after one to three days, switch to azoles like clotrimazole, miconazole, or ketoconazole can be used twice a day for 7 to 10 days. If there is a bacterial infection, topical antibiotics may be needed. In severe cases, like perianal streptococcal dermatitis, which is a specific type of bacteria, oral antibiotics might be necessary.",National Library of Medicine - NIH (National Institutes of Health),Diaper Dermatitis (Diaper Rash) atau Dermatitis popok 
What else can Diaper Dermatitis (Diaper Rash) be?,"Diaper rash, also known as diaper dermatitis, can be caused by various skin conditions. The most common culprits include:
- Seborrheic dermatitis: This usually shows up within the first month of a baby’s life. It starts with skin redness and scaling on the scalp before spreading to the face. It can also affect the diaper area, increasing the risk of diaper rash.
- Atopic dermatitis: This usually occurs between 3 and 12 months of age. It’s characterized by extreme itchiness, dryness, and skin redness. While most often it affects areas where the skin folds, it usually doesn’t affect the diaper area.
The rash can also be caused by an allergic reaction to fragrances or preservatives in new skincare products. This type of rash can occur wherever the product has been applied.
Other conditions to consider when diagnosing a diaper rash include jock itch (tinea cruris), a skin parasite (scabies), a nutrient-absorption disorder (acrodermatitis enteropathica), biotin deficiency, a rare type of cancer (Langerhans cell histiocytosis or Letterer-Siwe disease), congenital syphilis, Kawasaki disease, and HIV infection.",National Library of Medicine - NIH (National Institutes of Health),Diaper Dermatitis (Diaper Rash) atau Dermatitis popok 
What to expect with Diaper Dermatitis (Diaper Rash)?,"Diaper rash typically has a great outlook when it’s correctly identified and treated promptly. Generally, it’s a mild condition that gets better on its own over time.",National Library of Medicine - NIH (National Institutes of Health),Diaper Dermatitis (Diaper Rash) atau Dermatitis popok 
What are the Possible Complications When Diagnosed with Diaper Dermatitis (Diaper Rash)?,"Problems that can occur due to diaper rash include additional infections with fungus or bacteria. Extra care is required when these infections happen in patients with weakened immune systems, as they are at higher risk for more severe conditions.",National Library of Medicine - NIH (National Institutes of Health),Diaper Dermatitis (Diaper Rash) atau Dermatitis popok 
How can Diaper Dermatitis (Diaper Rash) be prevented?,"As part of regular, routine health check-ups, parents should be given lessons on how to properly take care of their baby’s skin, especially in relation to diaper care. This includes how often to change diapers, which types of diapers and wipes are best to use, and how to properly apply skin-protective creams during diaper changes.",National Library of Medicine - NIH (National Institutes of Health),Diaper Dermatitis (Diaper Rash) atau Dermatitis popok 
What is Varicella-Zoster Virus (Chickenpox) ?,"Chickenpox, also known as varicella, is a contagious illness caused by the varicella-zoster virus (VZV). This virus can cause two illnesses: chickenpox (usually in people with no immunity to the virus) and shingles (which can occur after a person with chickenpox recovers, and the virus reactivates). The main symptom of chickenpox is a skin rash that eventually forms small, itchy blisters that scab over. The rash usually begins on the chest, back, and face and later spreads to other areas. Other symptoms can include fever, fatigue, sore throat, and headaches. These symptoms generally last 5 to 7 days. Serious complications of chickenpox can include pneumonia, brain inflammation, and bacterial skin infections. Chickenpox tends to be more severe in adults than in children.
After you’re exposed to the virus, it takes about ten to 21 days for the symptoms to appear. Most people start having symptoms about two weeks after they’ve been exposed. Chickenpox spreads through the air when someone with the illness coughs or sneezes. It can also spread by touching a chickenpox blister or scab. People can spread chickenpox from about 1-2 days before they get the rash until all their chickenpox blisters have formed scabs. People with shingles can also spread chickenpox.
Doctors usually can tell if you have chickenpox by the symptoms you’re experiencing. If they’re not sure, they can confirm it by testing fluid or scabs from your blisters. They might also do a test to see if your body has ever made antibodies to fight the virus, which would mean you have immunity to chickenpox. Sometimes, people can get chickenpox again, but these second infections are usually less severe and often don’t cause symptoms.
A vaccine to prevent chickenpox was introduced in 1995 and has greatly reduced the number of chickenpox cases and complications. The vaccine prevents about 70% to 90% of infections and about 95% of severe chickenpox cases. It’s recommended that children routinely get the vaccine. If a child is exposed to chickenpox, getting the vaccine within three days can still help improve the child’s outcome.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
What Causes Varicella-Zoster Virus (Chickenpox) ?,"Chickenpox, also known as varicella, is caused by a type of herpes virus known as the varicella-zoster virus (VZV), which is found all over the world. Once this virus infects a person, it becomes dormant, which is a common trait of herpes viruses.
Chickenpox is usually caught by breathing in droplets in the air that contain the virus. This can happen if someone with the virus coughs or sneezes and you inhale the droplets they release. Because the virus is very contagious, it can spread quickly. The virus initially infects the upper airways, which are the passages in your body that transport air to your lungs. After about 2 to 6 days, the virus enters the bloodstream, and another wave of infection occurs about 10 to 12 days later. This is when the telltale spots or blisters of chickenpox emerge.
Your body will respond to the infection by producing several types of antibodies – essentially proteins your immune system uses to fight off the virus. These include IgA, IgM, and IgG antibodies. However, it’s the IgG antibodies that give you lifelong immunity to the virus, which means once you’ve had chickenpox, you cannot get it again.
Lastly, after the initial infection, the varicella-zoster virus moves to the nerve cells where it can stay dormant for many years and could reawaken later in life to cause shingles, a painful rash.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
What are the Risk Factors and Frequency for Varicella-Zoster Virus (Chickenpox)?,"Varicella, also known as chickenpox, is a disease that happens worldwide, causing around 7,000 deaths every year. This illness is common in children living in temperate climates, with most cases appearing in the winter and spring. In the United States, it results in over 9,000 hospitalizations each year. It is most commonly seen in children between 4 to 10 years old. In fact, about 90% of people get chickenpox at some point. A notable point is that if someone in a household gets it, others who get it after can have a more severe form of the disease. In tropical regions, older people are more likely to get chickenpox and it can result in more serious health issues. In adults, it often leads to deep pockmarks and more visible scars.
- Varicella happens all over the world and causes approximately 7,000 deaths each year.
- In temperate countries, it’s common in children and occurs mostly in winter and spring.
- In the U.S., it leads to over 9,000 hospitalizations every year.
- It’s most prevalent in children aged 4 to 10.
- About 90% people will get varicella in their lifetimes.
- People who catch it from someone in their household generally have a more severe case.
- In tropical regions, it often affects older people and can be more serious.
- In adults, it can result in deep pockmarks and prominent scars.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
What are the Signs and Symptoms of Varicella-Zoster Virus (Chickenpox)?,"Chickenpox is a common illness that is especially prevalent in adolescents and adults. It often begins with muscle aches, nausea, decreased appetite, and a headache, eventually followed by a rash, mouth sores, a general feeling of discomfort, and a slight fever. Sometimes, these symptoms can appear in the mouth before the skin rash even starts. However, in children, the illness might not show these early signs, and the first thing noticed could be a rash or mouth sores.
The typical chickenpox rash starts as tiny red dots on the face, scalp, body, upper arms, and legs. Over the span of 10 to 12 hours, these dots transform into small bumps, then blisters, then pustules, before finally turning into scabs. Unique to chickenpox, the rash progresses in waves, so spots in different stages—dots, bumps, blisters, and scabs—can appear simultaneously.
- Begins as tiny red dots
- Turns into small bumps
- Develops into blisters
- Progresses into pustules
- Finally forms scabs
At the blister stage, the rash can be very itchy. Blisters might even form on the palms, soles of feet, and genital area. Around this time, small, painful, and itchy ulcers might develop in the mouth and around the tonsils. These mouth sores can appear 1 to 3 days before the skin rash. All these symptoms show up between 10 to 21 days after exposure to the virus. Adults might experience a more extensive rash and longer fever than children, and are more likely to develop complications like pneumonia.
Interestingly, a person with chickenpox becomes contagious 1 to 2 days before any disease symptoms appear, due to the watery nasal discharge that contains the live virus. Most people recover from the infection in 2 to 4 weeks.
There are some complications associated with chickenpox, such as secondary bacterial infections that can lead to skin conditions like cellulitis, impetigo, or erysipelas. Immune-weakened individuals might develop a severe form of chickenpox that spreads throughout the body and can be fatal. Although rare, the illness can also lead to neurological complications, like Guillain-Barre syndrome or encephalitis. If a pregnant woman gets chickenpox, the virus can affect the fetus, who may develop chickenpox later or suffer from varicella congenital syndrome.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
How is Varicella-Zoster Virus (Chickenpox) tested?,"Chickenpox is generally diagnosed based on its typical signs and symptoms. If verification is needed, doctors can examine fluid from the fluid-filled blisters, skin scrapings from open non-crusted sores, or blood tests. The purpose of these tests is to search for reactions in your body that show a recent infection.
PCR (Polymerase Chain Reaction) is a test with the highest accuracy rate and can be used for non-skin samples such as fluids from the lungs and spinal cord. Once popular, the Tzanck test has now been mostly replaced with direct fluorescent antibody testing. Although the fluid-filled blisters can also be cultured, the yield is not as high compared to PCR test.
The blood tests can identify whether you’re currently battling an infection (by detecting something called IgM) or whether you’ve had the infection previously and your body is now immune to it (by detecting something called IgG).
If a pregnant woman is suspected of having chickenpox, this can be confirmed using ultrasound, though doctors typically wait at least 5 weeks after the suspected infection before performing this test. Additionally, a DNA test using the amniotic fluid surrounding the baby in the womb can be performed. However, this test carries some risks, including the risk of miscarriage, which is higher than the risk of the baby developing chickenpox.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
What are the Treatment Options for Varicella-Zoster Virus (Chickenpox)?,"If you have been infected with varicella-zoster virus, also known as chickenpox, you’re typically asked to stay at home to prevent spreading the virus to others. Useful practices include keeping your nails short and wearing gloves to prevent scratching and the risk of additional infections.
Calamine lotion, which you can apply directly to your skin, may help with your itching. Washing daily with warm water can help to prevent extra bacterial infections. If you have a fever, you may be advised to take acetaminophen, a common over-the-counter pain reliever.
If you’re at risk of having complications from chickenpox, or have had significant exposure to it, your doctor could give you varicella-zoster immune globulin. This is a treatment that contains many antibodies to the varicella-zoster virus, which can help prevent you from getting sick.
In children, taking the antiviral drug acyclovir within 24 hours of the rash appearing can reduce symptoms by a day. However, this doesn’t lower complication rates and usually isn’t suggested for kids with normal immune systems.
For adults, who generally have more severe infections, antiviral drugs like acyclovir or valacyclovir might be recommended if they can be started within 24 to 48 hours of the rash appearing. Supportive measures like drinking lots of water and taking fever and allergy medicines are also useful. Antivirals are typically given to adults, including pregnant women, as this group is more likely to experience complications. Oral medication is usually suggested, however, in patients with weakened immune systems, they could be given by an IV.
Varicella-zoster immune globulin is sometimes used for people with weakened immune systems. Additionally, there has been a vaccine available since 1995. This vaccine has a high seroconversion rate, meaning it can potentially switch your immune system from being susceptible to the disease to being resistant to it. This immunity is usually long-lasting. Side effects from the vaccine are uncommon.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
What else can Varicella-Zoster Virus (Chickenpox) be?,"The conditions that a doctor might consider when diagnosing chickenpox could include:
- Insect bites
- Impetigo (a bacterial skin infection)
- Smallpox
- Drug eruptions (skin reactions to medications)
- Dermatitis herpetiformis (an itchy, blistering skin disease)
In order to determine whether it’s chickenpox or another condition, the doctor would take a close look at the symptoms and possibly run some tests.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
What to expect with Varicella-Zoster Virus (Chickenpox)?,"The outlook for healthy children is generally very good. However, for individuals with weakened immune systems, the infection can cause a lot of health problems.",National Library of Medicine - NIH (National Institutes of Health),Varicella-Zoster Virus (Chickenpox) atau Cacar Air
What is Shingles?,"Shingles, also known as Herpes Zoster, is a viral disease caused by the reactivation of the Varicella-Zoster virus. This virus stays dormant in nerve cells after causing Chickenpox. While Chickenpox is common in children, Shingles usually occurs in adults or older people.
Shingles happens when the body’s immune system isn’t able to control the virus that’s lying dormant. This means that people with strong immune systems rarely get Shingles. The illness is not harmless and can manifest in different ways. Sometimes, even after the Shingles has gone away, patients can experience moderate to severe continuing pain, known as postherpetic neuralgia.",National Library of Medicine - NIH (National Institutes of Health),Shingles atau Herpes Zoster atau Cacar Api
What Causes Shingles?,"When reactivated, the virus multiplies within nerve cells. The virus particles, or virions, are then transported from the nerve cells to the skin areas associated with that particular nerve cluster. Once in the skin, the virus triggers inflammation and causes blisters. Shingles pain is due to this inflammation of the affected nerves by the virus.
Things that might activate the herpes zoster virus include:
- Emotional stress
- Use of certain drugs that weaken the immune system
- Having an acute or chronic illness
- Being exposed to the virus
- Having a type of cancer",National Library of Medicine - NIH (National Institutes of Health),Shingles atau Herpes Zoster atau Cacar Api
What are the Risk Factors and Frequency for Shingles?,"Herpes zoster, or shingles, affects 1.2 to 3.4 out of each 1000 healthy people each year. However, it is more common in those over the age of 65, affecting 3.9 to 11.8 of each 1000 people. The disease does not appear more frequently in any particular season. The rate of recurrence is highest in those with weakened immune systems.
- Herpes zoster affects 1.2 to 3.4 out of 1000 healthy people every year.
- In people over the age of 65, the number goes up to 3.9 to 11.8 out of 1000 each year.
- There’s no specific season in which herpes zoster is more common.
- The recurrence rate is highest in those with weakened immune systems.",National Library of Medicine - NIH (National Institutes of Health),Shingles atau Herpes Zoster atau Cacar Api
What are the Signs and Symptoms of Shingles?,"- Zoster characteristically presents with a prodrome of fever, malaise, and excruciating burning pain followed by the outbreak of vesicles that appear in one to three crops over three to five days.
- Lesions are distributed unilaterally within a single dermatome.
Clinically, lesions start as closely grouped erythematous papules which, rapidly become vesicles on an erythematous and edematous base and may occur in continuous or interrupted bands in one, two, or more contiguous dermatomes unilaterally. Dermatomes commonly involved are thoracic (53%), cervical (20%), and trigeminal (15%) including ophthalmic and lumbosacral (11%).
The three phases of the infection include:
- Preeruptive stage presents with abnormal skin sensations or pain within the dermatome affected. this phase appears at least 48 hours prior to any obvious lesions. At the same time, the individual may experience headaches, general malaise, and photophobia.
- The acute eruptive phase is marked by the vesicles and the symptoms seen in the pre-eruptive phase. The lesions initially start as macules and quickly transform into painful vesicles. The vesicles often rupture, ulcerate and eventually crust over. Patients are most infectious in this stage until the lesion dry out. Pain is severe during this phase and often unresponsive to traditional pain medications. The phase may last 2-4 weeks but the pain may continue.
- Chronic infection is characterized by recurrent pain that lasts more than 4 weeks. Besides the pain, patients experience paresthesias, shock-like sensations, and dysesthesias. The pain is disabling and may last 12 months or longer.
Shingles oticus is also known as Ramsay Hunt syndrome type II. It is due to the spreading of the virus from the facial nerve to the vestibulocochlear nerve which involves the ear and causes hearing loss and vertigo (rotational dizziness).
Zoster may occur in the mouth if the maxillary or mandibular division of the trigeminal nerve is affected. Clinically, it presents with vesicles or erosions occurring over the mucous membrane of the upper jaw (palate, gums of the upper teeth) or the lower jaw (tongue or gums of the lower teeth). Oral involvement may occur alone or in combination with the lesions on the skin over the cutaneous distribution of the same trigeminal branch.
Due to the close relationship of blood vessels to nerves, the virus can spread to involve the blood vessels compromising the blood supply, and causing ischemic necrosis. Complications such as osteonecrosis, tooth loss, periodontitis, pulp calcification, pulp necrosis, periapical lesions, and tooth developmental anomalies can occur due to it.
The ophthalmic division of the trigeminal nerve is the most commonly involved branch which causes ophthalmic zoster. The skin of the forehead, upper eyelid, and orbit of the eye may be involved. It is seen in approximately 10% to 25% of cases presenting with features of, keratitis, uveitis, and optic nerve palsies. Complications in the form of chronic ocular inflammation, loss of vision, and debilitating pain can occur.
The involvement of the CNS is not uncommon. since the virus resides in the sensory root ganglia, it can affect any part of the brain causing cranial nerve palsies, muscular weakness, diaphragmatic paralysis, neurogenic bladder, Guillain Barre syndrome, and myelitis. In severe cases, patients may develop encephalitis.
Complications of herpes zoster include secondary bacterial infection, post-herpetic neuralgia, scarring, nerve palsy, and encephalitis in the case with disseminated zoster.
- Disseminated zoster is defined as more than twenty skin lesions developing outside the primarily affected area or dermatomes directly adjacent to it. Besides the skin, other organs may also be affected, causing hepatitis or encephalitis making this condition potentially lethal.
- Post-herpetic neuralgia is the persistence of pain after a month of onset of herpes zoster. It is the commonest side effect seen in elderly patients with involvement of the ophthalmic division of trigeminal nerve.
- Complications like cranial neuropathies, polyneuritis, myelitis, aseptic meningitis, or partial facial paralysis occur due to the involvement of the nervous system.
During pregnancy, varicella may lead to infection in the fetus and complications in the newborn, but chronic infection or reactivation, in other words, herpes zoster, is not associated with fetal infection.
Zoster sine herpete is an entity with a pain in the involved dermatome without any skin lesions.",National Library of Medicine - NIH (National Institutes of Health),Shingles atau Herpes Zoster atau Cacar Api
How is Shingles tested?,"- Herpes zoster is clinically diagnosed with burning pain, characteristic morphology, and typical distribution.
- Herpes simplex virus can occasionally produce a rash in a pattern called as zosteriform herpes simplex.[7][8][9]
Tests for varicella-zoster virus include the following:
- The Tzanck smear of vesicular fluid shows multinucleated giant cells. It has lower sensitivity and specificity than direct fluorescent antibody (DFA) or Polymerase chain reaction (PCR).
- Varicella-zoster virus-specific IgM antibody in blood is detected during the active infection of chickenpox or shingles but not when the virus is dormant
- Direct fluorescent antibody testing of vesicular fluid or corneal fluid can be done when there is eye involvement.
- PCR testing of vesicular fluid, a corneal lesion, or blood in a case with eye involvement or disseminated infection.
Molecular biology tests based on in vitro nucleic acid amplification (PCR tests) are currently considered the most reliable. Nested PCR test has high sensitivity, but is susceptible to contamination leading to false-positive results. The latest real-time PCR tests are rapid, easy to perform, as sensitive as nested PCR, have a lower risk of contamination, and also have more sensitivity than viral cultures.
Differential Diagnosis
Cutaneous lesions of herpes zoster need to be differentiated from herpes simplex, dermatitis herpetiformis, impetigo, contact dermatitis, candidiasis, drug reactions, and insect bites. Preceding pain without the development of skin lesions in herpes zoster is different from cholecystitis and biliary colic, renal colic, trigeminal neuralgia, or any dental infection.
Herpes zoster tends to involve only one side of the oral cavity, which distinguishes it from other oral blistering conditions. In the mouth, it presents initially as vesicles that break down quickly to leave ulcers that heal within 10 to 14 days. The prodromal pain before the rash may be confused with a toothache which leads to unnecessary dental treatment.",National Library of Medicine - NIH (National Institutes of Health),Shingles atau Herpes Zoster atau Cacar Api
What are the Treatment Options for Shingles?,"- Antiviral therapy hastens the resolution of lesions, decreases acute pain, and helps to prevent post-herpetic neuralgia especially in elderly patients.
- Acyclovir 800 mg, five times daily for five days
- Valacyclovir 1 gm three times daily for five days
- Famciclovir 500 mg three times daily for seven days
- Topical antibiotic creams like mupirocin or soframycin help to prevent secondary bacterial infection.
- Analgesics help to relieve the pain.
- Occasionally, severe pain may require an opioid medication.
- Topical lidocaine and nerve blocks may also reduce pain.
Post-herpetic neuralgia commonly occurs in elderly patients, and once the lesions have crusted, they can use topical capsaicin and Emla cream.",National Library of Medicine - NIH (National Institutes of Health),Shingles atau Herpes Zoster atau Cacar Api
What else can Shingles be?,"When a doctor is diagnosing a skin condition, there are a range of potential causes that they need to consider. Some possibilities might include:
- Cellulitis (skin infection)
- Chickenpox
- Cnidaria envenomation (jellyfish or other stinging sea creature venom)
- Contact stomatitis (mouth inflammation due to certain irritants)
- Outbreaks related to the herpes simplex virus (which causes cold sores or genital herpes)
- Ecthyma (skin infection leading to sores)
- Erysipelas (skin infection typically on the legs)
- Erysipeloid (skin condition caused by certain bacteria)
- Folliculitis (inflammation or infection of hair follicles)
- Human cowpox infections (a rare and generally mild disease caused by a virus)
- Irritant contact dermatitis (an itchy skin reaction caused by some substances)
- Insect bites
- Lichen striatus (a skin condition often found in children that presents as a band of small pink or red bumps)
- Mucosal candidiasis (a yeast infection in the mouth, throat, or other areas)
All these conditions can lead to similar symptoms; thus, they require appropriate checks and tests for correct diagnosis.",National Library of Medicine - NIH (National Institutes of Health),Shingles atau Herpes Zoster atau Cacar Api
What is Mpox (Monkeypox)?,"The monkeypox (mpox) virus was first discovered in 1959, when monkeys sent from Singapore to a research facility in Denmark got sick. But it wasn’t until 1970 that the first confirmed case in a human was found, in a child from the Democratic Republic of Congo who was believed to have smallpox.
In the past, people were protected from the mpox virus thanks to the smallpox vaccine. However, when smallpox was eliminated and the vaccination programs ceased, the mpox virus started to become a clinical concern. Additionally, it’s suspected that mpox is underreported because many cases are in rural Africa, which could mean we’re underestimating how dangerous this virus could be.",National Library of Medicine - NIH (National Institutes of Health),Mpox (Monkeypox) atau Cacar Monyet
What Causes Mpox (Monkeypox)?,"Mpox is a type of virus that belongs to the Poxviridae family, the chordopoxvirinae subfamily, the orthopoxvirus genus, and the mpox virus species. When viewed under an electron microscope, the mpox virus is quite large, measuring about 200 to 250 nanometers. These viruses are shaped like bricks, and they are surrounded by a protective covering made of lipoprotein. They contain a double-stranded DNA genome, which is the virus’s genetic material. Unlike many other viruses, poxviruses carry all the necessary proteins for replication and other processes within their own genome. This means they don’t rely as heavily on the host’s cellular machinery as other viruses do.
Mpox is passed from animals to people, a type of disease known as a zoonosis. It is thought that various animals act as hosts for this disease, such as squirrels, rats, monkeys, primates, prairie dogs, hedgehogs, pigs, and mice, particularly those found in certain regions in Africa where mpox is commonly reported. However, the main way the disease spreads is from person to person. This happens through respiratory droplets, touching contaminated objects, or direct contact with the sores of an infected person.
Recent studies have shown that the virus is present in high amounts in various bodily fluids, like urine, saliva, semen, and feces. This has been shown through samples taken from the mouth and rectum. This suggests that the virus might also spread through sexual contact.",National Library of Medicine - NIH (National Institutes of Health),Mpox (Monkeypox) atau Cacar Monyet
What are the Risk Factors and Frequency for Mpox (Monkeypox)?,"Monkeypox, often known as mpox, is a disease that can be passed from animals to humans and is commonly found in central and western Africa, especially in the Democratic Republic of Congo. It was first identified in monkeys, which is where the name originates from, but it is thought that African rodents might be the natural carriers of the disease. Different types of animals and humans, including squirrels, rats, mice, monkeys, prairie dogs, and even humans themselves have been known to be infected.
Currently, two main types of the disease have been identified. One is found mostly in the Congo Basin (Central African) area and is more common and can be passed from one human to another, while the other is found in West Africa and doesn’t show cases of human-to-human transmission.
Incidents of monkeypox have been reported outside Africa too. Here are few that have occurred in recent History:
- In 2003, a group of Gambian giant rats from Ghana infected prairie dogs that were kept as domestic pets in the Midwestern United States. This led to fifty-three cases of monkeypox in humans.
- In October 2018, a man who traveled from Nigeria to Israel was infected.
- In May 2019, a man who had visited Nigeria and then went to Singapore contracted the disease.
- In May 2021, a family, who visited Nigeria and then returned to the United Kingdom, had three family members infected with monkeypox. This could potentially represent human-to-human transmission as the symptoms developed in one family member after another.
- In July 2021, a case was reported in a man who traveled from Nigeria to Texas.
- In November 2021, a man who traveled from Nigeria to Maryland was diagnosed with monkeypox.
- As of May 2022, they’re investigating a case of a man who returned to Massachusetts from Canada. Another cluster of monkeypox cases are being investigated in the United Kingdom.
It’s a challenge to accurately track how prevalent the disease is and how often it occurs due to problems with reporting the disease and confirming its diagnosis. Though, it’s been observed that both these metrics have increased since we stopped routine smallpox vaccination. This is because smallpox vaccination was also effective against monkeypox.
Risk factors for getting monkeypox include living in heavily forested and rural areas of central and western Africa, handling and preparing bushmeat, caring for someone infected with monkeypox, and not having the smallpox vaccine. Getting monkeypox seems to be more common in males, although that could be due to the cultural norm of men more frequently hunting and coming into contact with wild animals.
In 2022, there’s an ongoing outbreak of monkeypox affecting multiple countries on several continents. The outbreak is primarily targeting men who have sex with men (MSM) with most of them developing genital lesions. In Spain, a study of 595 confirmed cases discovered that 99% of the cases were in this population, with the lesions largely affecting genital, perineal or perianal areas. As a result, the study concluded that sexual transmission was the main way the disease was spreading. Germany has reported 1304 confirmed cases in this population as of July 6th, 2022. The 2022 outbreak has been traced back to the West African type of monkeypox, although there’s emerging data that suggests a new type of the virus might be causing the current outbreak.
Monkeypox can be transmitted by coming into contact with body fluids, skin lesions, or respiratory droplets from infected animals or through infected surfaces. Human-to-human transmission has previously been rare but is now a growing concern as immunity to orthopoxviruses decreases. The CDC recommends isolating patients in a room with negative air pressure and taking standard, contact, and droplet precautions in a healthcare setting, with airborne precautions if feasible.",National Library of Medicine - NIH (National Institutes of Health),Mpox (Monkeypox) atau Cacar Monyet
What are the Signs and Symptoms of Mpox (Monkeypox)?,"Mpox infection can be suspected based on certain historical clues like recent travel to areas where the disease is common, contact with wild animals from these areas, or taking care of an infected animal or person. But, it’s really the symptoms that are crucial for diagnosis.
- Initial symptoms: fever, headache, muscle aches, tiredness, and swollen lymph nodes. Swollen lymph nodes are especially important because they distinguish mpox from a similar disease, smallpox.
- After 1 to 2 days: sores develop on the mouth lining. Soon after, skin sores appear on the face and limbs, including the hands and feet; these are thicker in the middle than on the edges. The rash can sometimes cover the entire body. The total number of sores can vary from a few to thousands.
- Over the next 2 to 4 weeks: the sores go through different stages. They first become flat and reddened, then raised, then fluid-filled, and finally pus-filled. All the sores change at the same time, they are hard, sit deep in the skin, and are 2 to 10 mm in size. They remain pus-filled for 5 to 7 days, after which they start to scab over. The scabs fall off over the next 1 to 2 weeks, and then the condition usually resolves 3 to 4 weeks after the symptoms first began. A person is considered non-infectious once all the scabs have fallen off.
Certain reports suggest that men who have sex with men (MSM) are particularly at risk during the current outbreak. The symptoms in this group mainly consist of skin sores, fever, fatigue, headache, and regional lymphadenopathy. Sores are commonly found in the genital or anus area and often cluster together, likely due to the infection being sexually transmitted.",National Library of Medicine - NIH (National Institutes of Health),Mpox (Monkeypox) atau Cacar Monyet
How is Mpox (Monkeypox) tested?,"The Centers for Disease Control and Prevention (CDC) set standards on how to identify cases of monkeypox in humans during a 2003 outbreak in the U.S. However, these criteria don’t work as well in areas where monkeypox is common. This is because, the more people are exposed to infected animals or humans, the less specific these criteria become. Similarly, if there are many similar illnesses around, like chickenpox, the criteria are also less specific. This is especially true in Africa where chickenpox vaccines are not common.
As the specific criteria for identifying monkeypox can vary depending on different factors, such as location, the only way to definitively verify a human infection is through laboratory tests.
Because monkeypox and smallpox show similar symptoms, a protocol created by the CDC titled “Acute, Generalized Vesicular or Pustular Rash Illness Protocol” can be used to determine which patients need further testing. This protocol also takes into account the presence of swollen lymph nodes. The CDC suggests collecting two test samples from different lesions on the patients’ body. These samples are then tested further, including for other types of Orthopoxvirus, a group of viruses that include monkeypox and smallpox.
Confirmation of monkeypox infection can be achieved by isolating the virus in viral culture or by looking for the presence of monkeypox virus DNA in a sample taken from the patient using a technique called polymerase chain reaction (PCR). Other tests that can help diagnose this infection include looking for the presence of Orthopoxvirus under an electron microscope, testing for Orthopoxvirus proteins in patient samples, or checking the patient’s blood for certain types of antibodies (proteins our body makes to defend against infections), specifically IgM (which indicates recent exposure) and IgG (which indicates past exposure or vaccination).",National Library of Medicine - NIH (National Institutes of Health),Mpox (Monkeypox) atau Cacar Monyet
